
size		reps		median execution	median std

100		150		0.00000000		0.00000000
200		145		0.00000000		0.00000000
300		140		0.00000714		0.00008421
400		135		0.00001481		0.00012081
500		130		0.00001538		0.00012308
600		125		0.00000800		0.00008908
700		120		0.00000833		0.00009091
800		115		0.00000870		0.00009284
900		110		0.00001818		0.00013361
1000		105		0.00001905		0.00013669
2000		100		0.00004000		0.00019596
3000		95		0.00006316		0.00024325
4000		90		0.00007778		0.00026782
5000		85		0.00008235		0.00027490
6000		80		0.00016250		0.00036891
7000		75		0.00016000		0.00040133
8000		70		0.00015714		0.00040127
9000		65		0.00018462		0.00038799
10000		60		0.00018333		0.00038694
20000		55		0.00050909		0.00049992
30000		50		0.00068000		0.00050754
40000		45		0.00093333		0.00048990
50000		40		0.00107500		0.00034551
60000		35		0.00125714		0.00049816
70000		30		0.00163333		0.00054671
80000		25		0.00172000		0.00053066
90000		20		0.00175000		0.00053619
100000		15		0.00186667		0.00049889
200000		10		0.00490000		0.00094340
300000		10		0.00630000		0.00155242
400000		10		0.00890000		0.00151327
500000		10		0.01020000		0.00638436
600000		10		0.01050000		0.00538981
700000		10		0.01280000		0.00966230
800000		10		0.01790000		0.00760855
900000		10		0.02050000		0.00894707
1000000		10		0.02280000		0.00483322
