
size		reps		heap execution	heap std

500000		100		0.00016000	0.00159198
550000		90		0.00026667	0.00179382
600000		80		0.00026250	0.00142954
650000		70		0.00051429	0.00187268
700000		60		0.00033333	0.00146818
750000		50		0.00004000	0.00028000
800000		40		0.00027500	0.00128428
850000		30		0.00000000	0.00000000
900000		20		0.00040000	0.00174356
950000		10		0.00000000	0.00000000
1000000		10		0.00000000	0.00000000
1500000		10		0.00000000	0.00000000
2000000		10		0.00000000	0.00000000
2500000		10		0.00000000	0.00000000
3000000		10		0.00000000	0.00000000
3500000		10		0.00000000	0.00000000
4000000		10		0.00010000	0.00030000
